,Year,R/O,Country,Artist,Song,Language,Points,Place,SF,SF_Order,SF_Points,SF_Place
650,1992,23,Netherlands,Humphrey Campbell,Wijs me de weg,Dutch,67,9,,,,
651,1993,1,Italy,Enrico Ruggeri,Sole d'Europa,Italian,45,12,,,,
652,1993,2,Turkey,Burak Aydos,Esmer Yarim,Turkish,10,21,,,,
653,1993,3,Germany,Münchener Freiheit,Viel zu weit,German,18,18,,,,
654,1993,4,Switzerland,Annie Cotton,"Moi, tout simplement",French,148,3,,,,
655,1993,5,Denmark,Tommy Seebach Band,Under stjernerne på himlen,Danish,9,22,,,,
656,1993,6,Greece,Katy Garbi,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Greek,64,9,,,,
657,1993,7,Belgium,Barbara,Iemand als jij,Dutch,3,25,,,,
658,1993,8,Malta,William Mangion,This Time,English,69,8,,,,
659,1993,9,Iceland,Inga ,Þá veistu svarið,Icelandic,42,13,,,,
660,1993,10,Austria,Tony Wegas,Maria Magdalena,German,32,14,,,,
661,1993,11,Portugal,Anabela,A cidade (até ser dia),Portuguese,60,10,,,,
662,1993,12,France,Patrick Fiori,Mama Corsica,"French, Corsican",121,4,,,,
663,1993,13,Sweden,Arvingarna,Eloise,Swedish,89,7,,,,
664,1993,14,Ireland,Niamh Kavanagh,In Your Eyes,English,187,1,,,,
665,1993,15,Luxembourg,Modern Times,Donne-moi une chance,"French, Luxembourgish",11,20,,,,
666,1993,16,Slovenia,1X Band,Tih deževen dan,Slovene,9,22,,,,
667,1993,17,Finland,Katri Helena,Tule luo,Finnish,20,17,,,,
668,1993,18,Bosnia and Herzegovina,Fazla,Sva bol svijeta,Bosnian,27,16,,,,
669,1993,19,United Kingdom,Sonia,Better the Devil You Know,English,164,2,,,,
670,1993,20,Netherlands,Ruth Jacott,Vrede,Dutch,92,6,,,,
671,1993,21,Croatia,Put,Don't Ever Cry,"Croatian, English",31,15,,,,
672,1993,22,Spain,Eva Santamaría,Hombres,Spanish,58,11,,,,
673,1993,23,Cyprus,Zymboulakis and Van Beke,Mi stamatas (Μη σταματάς),Greek,17,19,,,,
674,1993,24,Israel,Lehakat Shiru,Shiru (שירו),"Hebrew, English",4,24,,,,
675,1993,25,Norway,Silje Vige,Alle mine tankar,Norwegian,120,5,,,,
676,1994,1,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,48,13,,,,
677,1994,2,Finland,CatCat,Bye Bye Baby,Finnish,11,22,,,,
678,1994,3,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,English,226,1,,,,
679,1994,4,Cyprus,Evridiki,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Greek,51,11,,,,
680,1994,5,Iceland,Sigga,Nætur,Icelandic,49,12,,,,
681,1994,6,United Kingdom,Frances Ruffelle,We Will Be Free (Lonely Symphony),English,63,10,,,,
682,1994,7,Croatia,Tony Cetinski,Nek' ti bude ljubav sva,Croatian,27,16,,,,
683,1994,8,Portugal,Sara Tavares,Chamar a música,Portuguese,73,8,,,,
684,1994,9,Switzerland,Duilio,Sto pregando,Italian,15,19,,,,
685,1994,10,Estonia,Silvi Vrait,Nagu merelaine,Estonian,2,24,,,,
686,1994,11,Romania,Dan Bittman,Dincolo de nori,Romanian,14,21,,,,
687,1994,12,Malta,Moira Stafrace and Christopher Scicluna,More than Love,English,97,5,,,,
688,1994,13,Netherlands,Willeke Alberti,Waar is de zon,Dutch,4,23,,,,
689,1994,14,Germany,Mekado,Wir geben 'ne Party,German,128,3,,,,
690,1994,15,Slovakia,Martin Ďurinda and Tublatanka,Nekonečná pieseň,Slovak,15,19,,,,
691,1994,16,Lithuania,Ovidijus Vyšniauskas,Lopšinė mylimai,Lithuanian,0,25,,,,
692,1994,17,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,Norwegian,76,6,,,,
693,1994,18,Bosnia and Herzegovina,Alma and Dejan,Ostani kraj mene,Bosnian,39,15,,,,
694,1994,19,Greece,Kostas Bigalis and the Sea Lovers,To trehandiri (Diri Diri) (Το τρεχαντήρι (Ντίρι Ντίρι)),Greek,44,14,,,,
695,1994,20,Austria,Petra Frey,Für den Frieden der Welt,German,19,17,,,,
696,1994,21,Spain,Alejandro Abad,Ella no es ella,Spanish,17,18,,,,
697,1994,22,Hungary,Friderika Bayer,Kinek mondjam el vétkeimet?,Hungarian,122,4,,,,
698,1994,23,Russia,Youddiph,Vechny strannik ,Russian,70,9,,,,
699,1994,24,Poland,Edyta Górniak,To nie ja!,Polish,166,2,,,,
700,1994,25,France,Nina Morato,Je suis un vrai garçon,French,74,7,,,,
701,1995,1,Poland,Justyna,Sama,Polish,15,18,,,,
702,1995,2,Ireland,Eddie Friel,Dreamin',English,44,14,,,,
703,1995,3,Germany,Stone and Stone,Verliebt in Dich,German,1,23,,,,
704,1995,4,Bosnia and Herzegovina,Davor Popović,Dvadeset prvi vijek,Bosnian,14,19,,,,
705,1995,5,Norway,Secret Garden,Nocturne,Norwegian,148,1,,,,
706,1995,6,Russia,Philipp Kirkorov,Kolybelnaya dlya vulkana (Колыбельная для вулкана),Russian,17,17,,,,
707,1995,7,Iceland,Bo Halldórsson,Núna,Icelandic,31,15,,,,
708,1995,8,Austria,Stella Jones,Die Welt dreht sich verkehrt,German,67,13,,,,
709,1995,9,Spain,Anabel Conde,Vuelve conmigo,Spanish,119,2,,,,
710,1995,10,Turkey,Arzu Ece,Sev!,Turkish,21,16,,,,
711,1995,11,Croatia,Magazin and Lidija,Nostalgija,Croatian,91,6,,,,
712,1995,12,France,Nathalie Santamaria,Il me donne rendez-vous,French,94,4,,,,
713,1995,13,Hungary,Csaba Szigeti,Új név egy régi ház falán,Hungarian,3,22,,,,
714,1995,14,Belgium,Frédéric Etherlinck,La Voix est libre,French,8,20,,,,
715,1995,15,United Kingdom,Love City Groove,Love City Groove,English,76,10,,,,
716,1995,16,Portugal,Tó Cruz,Baunilha e chocolate,Portuguese,5,21,,,,
717,1995,17,Cyprus,Alexandros Panayi,Sti fotia (Στη φωτιά),Greek,79,9,,,,
718,1995,18,Sweden,Jan Johansen,Se på mej,Swedish,100,3,,,,
719,1995,19,Denmark,Aud Wilken,Fra Mols til Skagen,Danish,92,5,,,,
720,1995,20,Slovenia,Darja Švajger,Prisluhni mi,Slovene,84,7,,,,
721,1995,21,Israel,Liora,Amen (אמן),Hebrew,81,8,,,,
722,1995,22,Malta,Mike Spiteri,Keep Me in Mind,English,76,10,,,,
723,1995,23,Greece,Elina Konstantopoulou,Pia prosefhi (Ποιά προσευχή),Greek,68,12,,,,
724,1996,1,Turkey,Şebnem Paker,Beşinci Mevsim,Turkish,57,12,,,,
725,1996,2,United Kingdom,Gina G,Ooh Aah... Just a Little Bit,English,77,8,,,,
726,1996,3,Spain,Antonio Carbonell,"¡Ay, qué deseo!",Spanish,17,20,,,,
727,1996,4,Portugal,Lúcia Moniz,O meu coração não tem cor,Portuguese,92,6,,,,
728,1996,5,Cyprus,Constantinos,Mono gia mas (Μόνο για μας),Greek,72,9,,,,
729,1996,6,Malta,Miriam Christine,In a Woman's Heart,English,68,10,,,,
730,1996,7,Croatia,Maja Blagdan,Sveta ljubav,Croatian,98,4,,,,
731,1996,8,Austria,George Nussbaumer,Weil's dr guat got,German,68,10,,,,
732,1996,9,Switzerland,Kathy Leander,Mon cœur l'aime,French,22,16,,,,
733,1996,10,Greece,Marianna Efstratiou,Emis forame to himona anixiatika(Εμείς φοράμε το χειμώνα ανοιξιάτικα),Greek,36,14,,,,
734,1996,11,Estonia,Maarja-Liis Ilus and Ivo Linna,Kaelakee hääl,Estonian,94,5,,,,
735,1996,12,Norway,Elisabeth Andreassen,I evighet,Norwegian,114,2,,,,
736,1996,13,France,Dan Ar Braz and l'Héritage des Celtes,Diwanit bugale,Breton,18,19,,,,
737,1996,14,Slovenia,Regina,Dan najlepših sanj,Slovene,16,21,,,,
738,1996,15,Netherlands,Maxine and Franklin Brown,De eerste keer,Dutch,78,7,,,,
739,1996,16,Belgium,Lisa del Bo,Liefde is een kaartspel,Dutch,22,16,,,,
740,1996,17,Ireland,Eimear Quinn,The Voice,English,162,1,,,,
741,1996,18,Finland,Jasmine,Niin kaunis on taivas,Finnish,9,23,,,,
742,1996,19,Iceland,Anna Mjöll,Sjúbídú,Icelandic,51,13,,,,
743,1996,20,Poland,Kasia Kowalska,Chcę znać swój grzech...,Polish,31,15,,,,
744,1996,21,Bosnia and Herzegovina,Amila Glamočak,Za našu ljubav,Bosnian,13,22,,,,
745,1996,22,Slovakia,Marcel Palonder,Kým nás máš,Slovak,19,18,,,,
746,1996,23,Sweden,One More Time,Den vilda,Swedish,100,3,,,,
747,1997,1,Cyprus,Hara and Andreas Konstantinou,Mana mou (Μάνα μου),Greek,98,5,,,,
748,1997,2,Turkey,Şebnem Paker and Grup Ethnic,Dinle,Turkish,121,3,,,,
749,1997,3,Norway,Tor Endresen,San Francisco,Norwegian,0,24,,,,
750,1997,4,Austria,Bettina Soriat,One Step,German,12,21,,,,
751,1997,5,Ireland,Marc Roberts,Mysterious Woman,English,157,2,,,,
752,1997,6,Slovenia,Tanja Ribič,Zbudi se,Slovene,60,10,,,,
753,1997,7,Switzerland,Barbara Berta,Dentro di me,Italian,5,22,,,,
754,1997,8,Netherlands,Mrs. Einstein,Niemand heeft nog tijd,Dutch,5,22,,,,
755,1997,9,Italy,Jalisse,Fiumi di parole,Italian,114,4,,,,
756,1997,10,Spain,Marcos Llunas,Sin rencor,Spanish,96,6,,,,
757,1997,11,Germany,Bianca Shomburg,Zeit,German,22,18,,,,
758,1997,12,Poland,Anna Maria Jopek,Ale jestem,Polish,54,11,,,,
759,1997,13,Estonia,Maarja-Liis Ilus,Keelatud maa,Estonian,82,8,,,,
760,1997,14,Bosnia and Herzegovina,Alma Čardžić,Goodbye,Bosnian,22,18,,,,
761,1997,15,Portugal,Célia Lawson,Antes do adeus,Portuguese,0,24,,,,
762,1997,16,Sweden,Blond,Bara hon älskar mig,Swedish,36,14,,,,
763,1997,17,Greece,Marianna Zorba,Horepse (Χόρεψε),Greek,39,12,,,,
764,1997,18,Malta,Debbie Scerri,Let Me Fly,English,66,9,,,,
765,1997,19,Hungary,V.I.P.,"Miért kell, hogy elmenj?",Hungarian,39,12,,,,
766,1997,20,Russia,Alla Pugacheva,Primadonna (Примадонна),Russian,33,15,,,,
767,1997,21,Denmark,Kølig Kaj,Stemmen i mit liv,Danish,25,16,,,,
768,1997,22,France,Fanny,Sentiments songes,French,95,7,,,,
769,1997,23,Croatia,E.N.I.,Probudi me,Croatian,24,17,,,,
770,1997,24,United Kingdom,Katrina and the Waves,Love Shine a Light,English,227,1,,,,
771,1997,25,Iceland,Paul Oscar,Minn hinsti dans,Icelandic,18,20,,,,
772,1998,1,Croatia,Danijela,Neka mi ne svane,Croatian,131,5,,,,
773,1998,2,Greece,Thalassa,Mia krifi evaisthisia (Μια κρυφή ευαισθησία),Greek,12,20,,,,
774,1998,3,France,Marie Line,Où aller,French,3,24,,,,
775,1998,4,Spain,Mikel Herzog,¿Qué voy a hacer sin ti?,Spanish,21,16,,,,
776,1998,5,Switzerland,Gunvor,Lass ihn,German,0,25,,,,
777,1998,6,Slovakia,Katarína Hasprová,Modlitba,Slovak,8,21,,,,
778,1998,7,Poland,Sixteen,To takie proste,Polish,19,17,,,,
779,1998,8,Israel,Dana International,Diva (דיווה),Hebrew,172,1,,,,
780,1998,9,Germany,Guildo Horn,Guildo hat euch lieb!,German,86,7,,,,
781,1998,10,Malta,Chiara,The One That I Love,English,165,3,,,,
782,1998,11,Hungary,Charlie,A holnap már nem lesz szomorú,Hungarian,4,23,,,,
783,1998,12,Slovenia,Vili Resnik,Naj bogovi slišijo,Slovene,17,18,,,,
784,1998,13,Ireland,Dawn Martin,Is Always Over Now?,English,64,9,,,,
785,1998,14,Portugal,Alma Lusa,Se eu te pudesse abraçar,Portuguese,36,12,,,,
786,1998,15,Romania,Mălina Olinescu,Eu cred,Romanian,6,22,,,,
787,1998,16,United Kingdom,Imaani,Where Are You?,English,166,2,,,,
788,1998,17,Cyprus,Michael Hajiyanni,Genesis (Γένεσις),Greek,37,11,,,,
789,1998,18,Netherlands,Edsilia,Hemel en aarde,Dutch,150,4,,,,
790,1998,19,Sweden,Jill Johnson,Kärleken är,Swedish,53,10,,,,
791,1998,20,Belgium,Mélanie Cohl,Dis oui,French,122,6,,,,
792,1998,21,Finland,Edea,Aava,Finnish,22,15,,,,
793,1998,22,Norway,Lars A. Fredriksen,Alltid sommer,Norwegian,79,8,,,,
794,1998,23,Estonia,Koit Toome,Mere lapsed,Estonian,36,12,,,,
795,1998,24,Turkey,Tüzmen,Unutamazsın,Turkish,25,14,,,,
796,1998,25,Macedonia,Vlado Janevski,"Ne zori, zoro (Не зори, зоро)",Macedonian,16,19,,,,
797,1999,1,Lithuania,Aistė,Strazdas,Samogitian,13,20,,,,
798,1999,2,Belgium,Vanessa Chinitor,Like the Wind,English,38,12,,,,
799,1999,3,Spain,Lydia,No quiero escuchar,Spanish,1,23,,,,
800,1999,4,Croatia,Doris Dragović,Marija Magdalena,Croatian,118,4,,,,
801,1999,5,United Kingdom,Precious,Say It Again,English,38,12,,,,
802,1999,6,Slovenia,Darja Švajger,For a Thousand Years,English,50,11,,,,
803,1999,7,Turkey,Tuba Önal and Grup Mistik,Dön Artık,Turkish,21,16,,,,
804,1999,8,Norway,Stig van Eijk,Living My Life Without You,English,35,14,,,,
805,1999,9,Denmark,Trine Jepsen and Michael Teschl,This Time I Mean It,English,71,8,,,,
806,1999,10,France,Nayah,Je veux donner ma voix,French,14,19,,,,
807,1999,11,Netherlands,Marlayne,One Good Reason,English,71,8,,,,
808,1999,12,Poland,Mietek Szcześniak,Przytul mnie mocno,Polish,17,18,,,,
809,1999,13,Iceland,Selma,All Out of Luck,English,146,2,,,,
810,1999,14,Cyprus,Marlain,Tha'nai erotas (Θα'ναι έρωτας),Greek,2,22,,,,
811,1999,15,Sweden,Charlotte Nilsson,Take Me to Your Heaven,English,163,1,,,,
812,1999,16,Portugal,Rui Bandeira,Como tudo começou,Portuguese,12,21,,,,
813,1999,17,Ireland,The Mullans,When You Need Me,English,18,17,,,,
814,1999,18,Austria,Bobbie Singer,Reflection,English,65,10,,,,
815,1999,19,Israel,Eden,Yom Huledet (Happy Birthday) (יום הולדת),"English, Hebrew",93,5,,,,
816,1999,20,Malta,Times Three,Believe 'n Peace,English,32,15,,,,
817,1999,21,Germany,Sürpriz,Reise nach Jerusalem – Kudüs'e Seyahat,"German, Turkish, English",140,3,,,,
818,1999,22,Bosnia and Herzegovina,Dino and Béatrice,Putnici,"Bosnian, French",86,7,,,,
819,1999,23,Estonia,Evelin Samuel and Camille,Diamond of Night,English,90,6,,,,
820,2000,1,Israel,PingPong,Sameach (שמח),Hebrew,7,22,,,,
821,2000,2,Netherlands,Linda Wagenmakers,No Goodbyes,English,40,13,,,,
822,2000,3,United Kingdom,Nicki French,Don't Play That Song Again,English,28,16,,,,
823,2000,4,Estonia,Ines,Once in a Lifetime,English,98,4,,,,
824,2000,5,France,Sofia Mestari,On aura le ciel,French,5,23,,,,
825,2000,6,Romania,Taxi,The Moon,English,25,17,,,,
826,2000,7,Malta,Claudette Pace,Desire,English,73,8,,,,
827,2000,8,Norway,Charmed,My Heart Goes Boom,English,57,11,,,,
828,2000,9,Russia,Alsou,Solo,English,155,2,,,,
829,2000,10,Belgium,Nathalie Sorce,Envie de vivre,French,2,24,,,,
830,2000,11,Cyprus,Voice,Nomiza (Νόμιζα),"Greek, Italian",8,21,,,,
831,2000,12,Iceland,August and Telma,Tell Me!,English,45,12,,,,
832,2000,13,Spain,Serafín Zubiri,Colgado de un sueño,Spanish,18,18,,,,
833,2000,14,Denmark,Olsen Brothers,Fly on the Wings of Love,English,195,1,,,,
834,2000,15,Germany,Stefan Raab,Wadde hadde dudde da?,"German, English",96,5,,,,
835,2000,16,Switzerland,Jane Bogaert,La vita cos'è?,Italian,14,20,,,,
836,2000,17,Croatia,Goran Karan,Kad zaspu anđeli,Croatian,70,9,,,,
837,2000,18,Sweden,Roger Pontare,When Spirits Are Calling My Name,English,88,7,,,,
838,2000,19,Macedonia,XXL,100% te ljubam (100% те љубам),"Macedonian, English",29,15,,,,
839,2000,20,Finland,Nina Åström,A Little Bit,English,18,18,,,,
840,2000,21,Latvia,Brainstorm,My Star,English,136,3,,,,
841,2000,22,Turkey,Pınar Ayhan and the SOS,Yorgunum Anla,"Turkish, English",59,10,,,,
842,2000,23,Ireland,Eamonn Toal,Millennium of Love,English,92,6,,,,
843,2000,24,Austria,The Rounder Girls,All to You,English,34,14,,,,
844,2001,1,Netherlands,Michelle,Out on My Own,English,16,18,,,,
845,2001,2,Iceland,Two Tricky,Angel,English,3,22,,,,
846,2001,3,Bosnia and Herzegovina,Nino,Hano,"Bosnian, English",29,14,,,,
847,2001,4,Norway,Haldor Lægreid,On My Own,English,3,22,,,,
848,2001,5,Israel,Tal Sondak,Ein Davar (אין דבר),Hebrew,25,16,,,,
849,2001,6,Russia,Mumiy Troll,Lady Alpine Blue,English,37,12,,,,
850,2001,7,Sweden,Friends,Listen to Your Heartbeat,English,100,5,,,,
851,2001,8,Lithuania,Skamp,You Got Style,"English, Lithuanian",35,13,,,,
852,2001,9,Latvia,Arnis Mednis,Too Much,English,16,18,,,,
853,2001,10,Croatia,Vanna,Strings of My Heart,English,42,10,,,,
854,2001,11,Portugal,MTM,Só sei ser feliz assim,Portuguese,18,17,,,,
855,2001,12,Ireland,Gary O'Shaughnessy,Without Your Love,English,6,21,,,,
856,2001,13,Spain,David Civera,Dile que la quiero,Spanish,76,6,,,,
857,2001,14,France,Natasha St-Pier,Je n'ai que mon âme,"French, English",142,4,,,,
858,2001,15,Turkey,Sedat Yüce,Sevgiliye Son,"Turkish, English",41,11,,,,
859,2001,16,United Kingdom,Lindsay Dracass,No Dream Impossible,English,28,15,,,,
860,2001,17,Slovenia,Nuša Derenda,Energy,English,70,7,,,,
861,2001,18,Poland,Piasek,2 Long,English,11,20,,,,
862,2001,19,Germany,Michelle,Wer Liebe lebt,"German, English",66,8,,,,
863,2001,20,Estonia,"Tanel Padar, Dave Benton and 2XL",Everybody,English,198,1,,,,
864,2001,21,Malta,Fabrizio Faniello,Another Summer Night,English,48,9,,,,
865,2001,22,Greece,Antique,Die for You,"Greek, English",147,3,,,,
866,2001,23,Denmark,Rollo and King,Never Ever Let You Go,English,177,2,,,,
867,2002,1,Cyprus,One,Gimme,English,85,6,,,,
868,2002,2,United Kingdom,Jessica Garlick,Come Back,English,111,3,,,,
869,2002,3,Austria,Manuel Ortega,Say a Word,English,26,18,,,,
870,2002,4,Greece,Michalis Rakintzis,S.A.G.A.P.O.,English,27,17,,,,
871,2002,5,Spain,Rosa,Europe's Living a Celebration,Spanish,81,7,,,,
872,2002,6,Croatia,Vesna Pisarović,Everything I Want,English,44,11,,,,
873,2002,7,Russia,Prime Minister,Northern Girl,English,55,10,,,,
874,2002,8,Estonia,Sahlene,Runaway,English,111,3,,,,
875,2002,9,Macedonia,Karolina,Od nas zavisi (Од нас зависи),Macedonian,25,19,,,,
876,2002,10,Israel,Sarit Hadad,Light a Candle,"Hebrew, English",37,12,,,,
877,2002,11,Switzerland,Francine Jordi,Dans le jardin de mon âme,French,15,22,,,,
878,2002,12,Sweden,Afro-dite,Never Let It Go,English,72,8,,,,
879,2002,13,Finland,Laura,Addicted to You,English,24,20,,,,
880,2002,14,Denmark,Malene,Tell Me Who You Are,English,7,24,,,,
881,2002,15,Bosnia and Herzegovina,Maja,Na jastuku za dvoje (На јастуку за двоје),"Serbian, English",33,13,,,,
882,2002,16,Belgium,Sergio and the Ladies,Sister,English,33,13,,,,
883,2002,17,France,Sandrine François,Il faut du temps,French,104,5,,,,
884,2002,18,Germany,Corinna May,I Can't Live Without Music,English,17,21,,,,
885,2002,19,Turkey,Buket Bengisu and Group Safir,Leylaklar Soldu Kalbinde,"Turkish, English",29,16,,,,
886,2002,20,Malta,Ira Losco,7th Wonder,English,164,2,,,,
887,2002,21,Romania,Monica Anghel and Marcel Pavel,Tell Me Why,English,71,9,,,,
888,2002,22,Slovenia,Sestre,Samo ljubezen,Slovene,33,13,,,,
889,2002,23,Latvia,Marie N,I Wanna,English,176,1,,,,
890,2002,24,Lithuania,Aivaras,Happy You,English,12,23,,,,
891,2003,1,Iceland,Birgitta,Open Your Heart,English,81,8,,,,
892,2003,2,Austria,Alf Poier,Weil der Mensch zählt,German,101,6,,,,
893,2003,3,Ireland,Mickey Harte,We've Got the World,English,53,11,,,,
894,2003,4,Turkey,Sertab Erener,Everyway That I Can,English,167,1,,,,
895,2003,5,Malta,Lynn Chircop,To Dream Again,English,4,25,,,,
896,2003,6,Bosnia and Herzegovina,Mija Martina,Ne brini,"Croatian, English",27,16,,,,
897,2003,7,Portugal,Rita Guerra,Deixa-me sonhar,"Portuguese, English",13,22,,,,
898,2003,8,Croatia,Claudia Beni,Više nisam tvoja,"Croatian, English",29,15,,,,
899,2003,9,Cyprus,Stelios Constantas,Feeling Alive,English,15,20,,,,
900,2003,10,Germany,Lou,Let's Get Happy,English,53,11,,,,
901,2003,11,Russia,t.A.T.u.,"Ne ver', ne boysia (Не верь, не бойся)",Russian,164,3,,,,
902,2003,12,Spain,Beth,Dime,Spanish,81,8,,,,
903,2003,13,Israel,Lior Narkis,Words for Love,Hebrew,17,19,,,,
904,2003,14,Netherlands,Esther Hart,One More Night,English,45,13,,,,
905,2003,15,United Kingdom,Jemini,Cry Baby,English,0,26,,,,
906,2003,16,Ukraine,Olexandr,Hasta la vista,English,30,14,,,,
907,2003,17,Greece,Mando,Never Let You Go,English,25,17,,,,
908,2003,18,Norway,Jostein Hasselgård,I'm Not Afraid to Move On,English,123,4,,,,
909,2003,19,France,Louisa Baïleche,Monts et merveilles,French,19,18,,,,
910,2003,20,Poland,Ich Troje,Keine Grenzen – Żadnych granic,"German, Polish, Russian",90,7,,,,
911,2003,21,Latvia,F.L.Y.,Hello from Mars,English,5,24,,,,
912,2003,22,Belgium,Urban Trad,Sanomi,Imaginary,165,2,,,,
913,2003,23,Estonia,Ruffus,Eighties Coming Back,English,14,21,,,,
914,2003,24,Romania,Nicola,Don't Break My Heart,English,73,10,,,,
915,2003,25,Sweden,Fame,Give Me Your Love,English,107,5,,,,
916,2003,26,Slovenia,Karmen,Nanana,English,7,23,,,,
917,2004,1,Spain,Ramón,Para llenarme de ti,Spanish,87,10,,,,
918,2004,2,Austria,Tie Break,Du bist,German,9,21,,,,
919,2004,3,Norway,Knut Anders Sørum,High,English,3,24,,,,
920,2004,4,France,Jonatan Cerrada,À chaque pas,"French, Spanish",40,15,,,,
921,2004,5,Serbia and Montenegro,Željko Joksimović and Ad-Hoc Orchestra,Lane moje (Лане моје),Serbian,263,2,SF,20,263,1
922,2004,6,Malta,Julie and Ludwig,On Again... Off Again,English,50,12,SF,8,74,8
923,2004,7,Netherlands,Re-union,Without You,English,11,20,SF,22,146,6
924,2004,8,Germany,Max,Can't Wait Until Tonight,"English, Turkish",93,8,,,,
925,2004,9,Albania,Anjeza Shahini,The Image of You,English,106,7,SF,13,167,4
926,2004,10,Ukraine,Ruslana,Wild Dances,"English, Ukrainian",280,1,SF,11,256,2
927,2004,11,Croatia,Ivan Mikulić,You Are the Only One,English,50,12,SF,18,72,9
928,2004,12,Bosnia and Herzegovina,Deen,In the Disco,English,91,9,SF,21,133,7
929,2004,13,Belgium,Xandee,1 Life,English,7,22,,,,
930,2004,14,Russia,Julia Savicheva,Believe Me,English,67,11,,,,
931,2004,15,Macedonia,Toše Proeski,Life,English,47,14,SF,15,71,10
932,2004,16,Greece,Sakis Rouvas,Shake It,English,252,3,SF,10,238,3
933,2004,17,Iceland,Jónsi,Heaven,English,16,19,,,,
934,2004,18,Ireland,Chris Doran,If My World Stopped Turning,English,7,22,,,,
935,2004,19,Poland,Blue Café,Love Song,"English, Spanish",27,17,,,,
936,2004,20,United Kingdom,James Fox,Hold On to Our Love,English,29,16,,,,
937,2004,21,Cyprus,Lisa Andreas,Stronger Every Minute,English,170,5,SF,14,149,5
938,2004,22,Turkey,Athena,For Real,English,195,4,,,,
939,2004,23,Romania,Sanda,I Admit,English,18,18,,,,
940,2004,24,Sweden,Lena Philipsson,It Hurts,English,170,5,,,,
1399,2004,,Finland,Jari Sillanpää,Takes 2 to Tango,English,,,SF,1,51,14
1400,2004,,Belarus,Aleksandra and Konstantin,My Galileo,English,,,SF,2,10,19
1401,2004,,Switzerland,Piero and the MusicStars,Celebrate,English,,,SF,3,0,22
1402,2004,,Latvia,Fomins and Kleins,Dziesma par laimi,Latvian,,,SF,4,23,17
1403,2004,,Israel,David D'Or,Leha'amin (להאמין),"Hebrew, English",,,SF,5,57,11
1404,2004,,Andorra,Marta Roure,Jugarem a estimar-nos,Catalan,,,SF,6,12,18
1405,2004,,Portugal,Sofia Vitória,Foi magia,Portuguese,,,SF,7,38,15
1406,2004,,Monaco,Maryon,Notre planète,French,,,SF,9,10,19
1407,2004,,Lithuania,Linas and Simona,What's Happened to Your Love,English,,,SF,12,26,16
1408,2004,,Slovenia,Platin,Stay Forever,English,,,SF,16,5,21
1409,2004,,Estonia,Neiokõsõ,Tii,Võro,,,SF,17,57,11
1410,2004,,Denmark,Tomas Thordarson,Shame on You,English,,,SF,19,56,13
941,2005,1,Hungary,Nox,"Forogj, világ",Hungarian,97,12,SF,15,167,5
942,2005,2,United Kingdom,Javine,Touch My Fire,English,18,22,,,,
943,2005,3,Malta,Chiara,Angel,English,192,2,,,,
944,2005,4,Romania,Luminița Anghel and Sistem,Let Me Try,English,158,3,SF,14,235,1
945,2005,5,Norway,Wig Wam,In My Dreams,English,125,9,SF,13,164,6
946,2005,6,Turkey,Gülseren,Rimi Rimi Ley,Turkish,92,13,,,,
947,2005,7,Moldova,Zdob și Zdub,Boonika bate toba,"English, Romanian",148,6,SF,4,207,2
948,2005,8,Albania,Ledina Çelo,Tomorrow I Go,English,53,16,,,,
949,2005,9,Cyprus,Constantinos Christoforou,Ela Ela,English,46,18,,,,
950,2005,10,Spain,Son de Sol,Brujería,Spanish,28,21,,,,
951,2005,11,Israel,Shiri Maimon,HaSheket SheNish'ar (השקט שנשאר),"Hebrew, English",154,4,SF,7,158,7
952,2005,12,Serbia and Montenegro,No Name,Zauvijek moja (Заувијек моја),Montenegrin,137,7,,,,
953,2005,13,Denmark,Jakob Sveistrup,Talking to You,English,125,9,SF,24,185,3
954,2005,14,Sweden,Martin Stenmarck,Las Vegas,English,30,19,,,,
955,2005,15,Macedonia,Martin Vučić,Make My Day,English,52,17,SF,17,97,9
956,2005,16,Ukraine,GreenJolly,Razom nas bahato (Разом нас багато),"Ukrainian, English",30,19,,,,
957,2005,17,Germany,Gracia,Run & Hide,English,4,24,,,,
958,2005,18,Croatia,Boris Novković feat. Lado members,Vukovi umiru sami,Croatian,115,11,SF,20,169,4
959,2005,19,Greece,Helena Paparizou,My Number One,English,230,1,,,,
960,2005,20,Russia,Natalia Podolskaya,Nobody Hurt No One,English,57,15,,,,
961,2005,21,Bosnia and Herzegovina,Feminnem,Call Me,English,79,14,,,,
962,2005,22,Switzerland,Vanilla Ninja,Cool Vibes,English,128,8,SF,19,114,8
963,2005,23,Latvia,Walters and Kazha,The War Is Not Over,English,153,5,SF,5,85,10
964,2005,24,France,Ortal,Chacun pense à soi,French,11,23,,,,
1411,2005,,Austria,Global.Kryner,Y así,"English, Spanish",,,SF,1,30,21
1412,2005,,Lithuania,Laura and the Lovers,Little by Little,English,,,SF,2,17,25
1413,2005,,Portugal,2B,Amar,"Portuguese, English",,,SF,3,51,17
1414,2005,,Monaco,Lise Darly,Tout de moi,French,,,SF,6,22,24
