,Year,Order,Country,Artist,Song,Language,Place,Points,SF,SF_Order,SF_Place,SF_Points
651,1993,1,Italy,Enrico Ruggeri,Sole d'Europa,Italian,12,45,,,,
652,1993,2,Turkey,Burak Aydos,Esmer Yarim,Turkish,21,10,,,,
653,1993,3,Germany,Münchener Freiheit,Viel zu weit,German,18,18,,,,
654,1993,4,Switzerland,Annie Cotton,"Moi, tout simplement",French,3,148,,,,
655,1993,5,Denmark,Tommy Seebach Band,Under stjernerne på himlen,Danish,22,9,,,,
656,1993,6,Greece,Katy Garbi,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Greek,9,64,,,,
657,1993,7,Belgium,Barbara,Iemand als jij,Dutch,25,3,,,,
658,1993,8,Malta,William Mangion,This Time,English,8,69,,,,
659,1993,9,Iceland,Inga ,Þá veistu svarið,Icelandic,13,42,,,,
660,1993,10,Austria,Tony Wegas,Maria Magdalena,German,14,32,,,,
661,1993,11,Portugal,Anabela,A cidade (até ser dia),Portuguese,10,60,,,,
662,1993,12,France,Patrick Fiori,Mama Corsica,"French, Corsican",4,121,,,,
663,1993,13,Sweden,Arvingarna,Eloise,Swedish,7,89,,,,
664,1993,14,Ireland,Niamh Kavanagh,In Your Eyes,English,1,187,,,,
665,1993,15,Luxembourg,Modern Times,Donne-moi une chance,"French, Luxembourgish",20,11,,,,
666,1993,16,Slovenia,1X Band,Tih deževen dan,Slovene,22,9,,,,
667,1993,17,Finland,Katri Helena,Tule luo,Finnish,17,20,,,,
668,1993,18,Bosnia and Herzegovina,Fazla,Sva bol svijeta,Bosnian,16,27,,,,
669,1993,19,United Kingdom,Sonia,Better the Devil You Know,English,2,164,,,,
670,1993,20,Netherlands,Ruth Jacott,Vrede,Dutch,6,92,,,,
671,1993,21,Croatia,Put,Don't Ever Cry,"Croatian, English",15,31,,,,
672,1993,22,Spain,Eva Santamaría,Hombres,Spanish,11,58,,,,
673,1993,23,Cyprus,Zymboulakis and Van Beke,Mi stamatas (Μη σταματάς),Greek,19,17,,,,
674,1993,24,Israel,Lehakat Shiru,Shiru (שירו),"Hebrew, English",24,4,,,,
675,1993,25,Norway,Silje Vige,Alle mine tankar,Norwegian,5,120,,,,
676,1994,1,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,13,48,,,,
677,1994,2,Finland,CatCat,Bye Bye Baby,Finnish,22,11,,,,
678,1994,3,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,English,1,226,,,,
679,1994,4,Cyprus,Evridiki,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Greek,11,51,,,,
680,1994,5,Iceland,Sigga,Nætur,Icelandic,12,49,,,,
681,1994,6,United Kingdom,Frances Ruffelle,We Will Be Free (Lonely Symphony),English,10,63,,,,
682,1994,7,Croatia,Tony Cetinski,Nek' ti bude ljubav sva,Croatian,16,27,,,,
683,1994,8,Portugal,Sara Tavares,Chamar a música,Portuguese,8,73,,,,
684,1994,9,Switzerland,Duilio,Sto pregando,Italian,19,15,,,,
685,1994,10,Estonia,Silvi Vrait,Nagu merelaine,Estonian,24,2,,,,
686,1994,11,Romania,Dan Bittman,Dincolo de nori,Romanian,21,14,,,,
687,1994,12,Malta,Moira Stafrace and Christopher Scicluna,More than Love,English,5,97,,,,
688,1994,13,Netherlands,Willeke Alberti,Waar is de zon,Dutch,23,4,,,,
689,1994,14,Germany,Mekado,Wir geben 'ne Party,German,3,128,,,,
690,1994,15,Slovakia,Martin Ďurinda and Tublatanka,Nekonečná pieseň,Slovak,19,15,,,,
691,1994,16,Lithuania,Ovidijus Vyšniauskas,Lopšinė mylimai,Lithuanian,25,0,,,,
692,1994,17,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,Norwegian,6,76,,,,
693,1994,18,Bosnia and Herzegovina,Alma and Dejan,Ostani kraj mene,Bosnian,15,39,,,,
694,1994,19,Greece,Kostas Bigalis and the Sea Lovers,To trehandiri (Diri Diri) (Το τρεχαντήρι (Ντίρι Ντίρι)),Greek,14,44,,,,
695,1994,20,Austria,Petra Frey,Für den Frieden der Welt,German,17,19,,,,
696,1994,21,Spain,Alejandro Abad,Ella no es ella,Spanish,18,17,,,,
697,1994,22,Hungary,Friderika Bayer,Kinek mondjam el vétkeimet?,Hungarian,4,122,,,,
698,1994,23,Russia,Youddiph,Vechny strannik (Вечный странник),Russian,9,70,,,,
699,1994,24,Poland,Edyta Górniak,To nie ja!,Polish,2,166,,,,
700,1994,25,France,Nina Morato,Je suis un vrai garçon,French,7,74,,,,
701,1995,1,Poland,Justyna,Sama,Polish,18,15,,,,
702,1995,2,Ireland,Eddie Friel,Dreamin',English,14,44,,,,
703,1995,3,Germany,Stone and Stone,Verliebt in Dich,German,23,1,,,,
704,1995,4,Bosnia and Herzegovina,Davor Popović,Dvadeset prvi vijek,Bosnian,19,14,,,,
705,1995,5,Norway,Secret Garden,Nocturne,Norwegian,1,148,,,,
706,1995,6,Russia,Philipp Kirkorov,Kolybelnaya dlya vulkana (Колыбельная для вулкана),Russian,17,17,,,,
707,1995,7,Iceland,Bo Halldórsson,Núna,Icelandic,15,31,,,,
708,1995,8,Austria,Stella Jones,Die Welt dreht sich verkehrt,German,13,67,,,,
709,1995,9,Spain,Anabel Conde,Vuelve conmigo,Spanish,2,119,,,,
710,1995,10,Turkey,Arzu Ece,Sev!,Turkish,16,21,,,,
711,1995,11,Croatia,Magazin and Lidija,Nostalgija,Croatian,6,91,,,,
712,1995,12,France,Nathalie Santamaria,Il me donne rendez-vous,French,4,94,,,,
713,1995,13,Hungary,Csaba Szigeti,Új név egy régi ház falán,Hungarian,22,3,,,,
714,1995,14,Belgium,Frédéric Etherlinck,La voix est libre,French,20,8,,,,
715,1995,15,United Kingdom,Love City Groove,Love City Groove,English,10,76,,,,
716,1995,16,Portugal,Tó Cruz,Baunilha e chocolate,Portuguese,21,5,,,,
717,1995,17,Cyprus,Alexandros Panayi,Sti fotia (Στη φωτιά),Greek,9,79,,,,
718,1995,18,Sweden,Jan Johansen,Se på mej,Swedish,3,100,,,,
719,1995,19,Denmark,Aud Wilken,Fra Mols til Skagen,Danish,5,92,,,,
720,1995,20,Slovenia,Darja Švajger,Prisluhni mi,Slovene,7,84,,,,
721,1995,21,Israel,Liora,Amen (אמן),Hebrew,8,81,,,,
722,1995,22,Malta,Mike Spiteri,Keep Me in Mind,English,10,76,,,,
723,1995,23,Greece,Elina Konstantopoulou,Pia prosefhi (Ποιά προσευχή),Greek,12,68,,,,
724,1996,1,Turkey,Şebnem Paker,Beşinci Mevsim,Turkish,12,57,,,,
725,1996,2,United Kingdom,Gina G,Ooh Aah... Just a Little Bit,English,8,77,,,,
726,1996,3,Spain,Antonio Carbonell,"¡Ay, qué deseo!",Spanish,20,17,,,,
727,1996,4,Portugal,Lúcia Moniz,O meu coração não tem cor,Portuguese,6,92,,,,
728,1996,5,Cyprus,Constantinos,Mono gia mas (Μόνο για μας),Greek,9,72,,,,
729,1996,6,Malta,Miriam Christine,In a Woman's Heart,English,10,68,,,,
730,1996,7,Croatia,Maja Blagdan,Sveta ljubav,Croatian,4,98,,,,
731,1996,8,Austria,George Nussbaumer,Weil's dr guat got,Vorarlbergish,10,68,,,,
732,1996,9,Switzerland,Kathy Leander,Mon cœur l'aime,French,16,22,,,,
733,1996,10,Greece,Marianna Efstratiou,Emis forame to himona anixiatika(Εμείς φοράμε το χειμώνα ανοιξιάτικα),Greek,14,36,,,,
734,1996,11,Estonia,Maarja-Liis Ilus and Ivo Linna,Kaelakee hääl,Estonian,5,94,,,,
735,1996,12,Norway,Elisabeth Andreassen,I evighet,Norwegian,2,114,,,,
736,1996,13,France,Dan Ar Braz and l'Héritage des Celtes,Diwanit bugale,Breton,19,18,,,,
737,1996,14,Slovenia,Regina,Dan najlepših sanj,Slovene,21,16,,,,
738,1996,15,Netherlands,Maxine and Franklin Brown,De eerste keer,Dutch,7,78,,,,
739,1996,16,Belgium,Lisa del Bo,Liefde is een kaartspel,Dutch,16,22,,,,
740,1996,17,Ireland,Eimear Quinn,The Voice,English,1,162,,,,
741,1996,18,Finland,Jasmine,Niin kaunis on taivas,Finnish,23,9,,,,
742,1996,19,Iceland,Anna Mjöll,Sjúbídú,Icelandic,13,51,,,,
743,1996,20,Poland,Kasia Kowalska,Chcę znać swój grzech...,Polish,15,31,,,,
744,1996,21,Bosnia and Herzegovina,Amila Glamočak,Za našu ljubav,Bosnian,22,13,,,,
745,1996,22,Slovakia,Marcel Palonder,Kým nás máš,Slovak,18,19,,,,
746,1996,23,Sweden,One More Time,Den vilda,Swedish,3,100,,,,
747,1997,1,Cyprus,Hara and Andreas Konstantinou,Mana mou (Μάνα μου),Greek,5,98,,,,
748,1997,2,Turkey,Şebnem Paker and Grup Ethnic,Dinle,Turkish,3,121,,,,
749,1997,3,Norway,Tor Endresen,San Francisco,Norwegian,24,0,,,,
750,1997,4,Austria,Bettina Soriat,One Step,German,21,12,,,,
751,1997,5,Ireland,Marc Roberts,Mysterious Woman,English,2,157,,,,
752,1997,6,Slovenia,Tanja Ribič,Zbudi se,Slovene,10,60,,,,
753,1997,7,Switzerland,Barbara Berta,Dentro di me,Italian,22,5,,,,
754,1997,8,Netherlands,Mrs. Einstein,Niemand heeft nog tijd,Dutch,22,5,,,,
755,1997,9,Italy,Jalisse,Fiumi di parole,Italian,4,114,,,,
756,1997,10,Spain,Marcos Llunas,Sin rencor,Spanish,6,96,,,,
757,1997,11,Germany,Bianca Shomburg,Zeit,German,18,22,,,,
758,1997,12,Poland,Anna Maria Jopek,Ale jestem,Polish,11,54,,,,
759,1997,13,Estonia,Maarja-Liis Ilus,Keelatud maa,Estonian,8,82,,,,
760,1997,14,Bosnia and Herzegovina,Alma Čardžić,Goodbye,Bosnian,18,22,,,,
761,1997,15,Portugal,Célia Lawson,Antes do adeus,Portuguese,24,0,,,,
762,1997,16,Sweden,Blond,Bara hon älskar mig,Swedish,14,36,,,,
763,1997,17,Greece,Marianna Zorba,Horepse (Χόρεψε),Greek,12,39,,,,
764,1997,18,Malta,Debbie Scerri,Let Me Fly,English,9,66,,,,
765,1997,19,Hungary,V.I.P.,"Miért kell, hogy elmenj?",Hungarian,12,39,,,,
766,1997,20,Russia,Alla Pugacheva,Primadonna (Примадонна),Russian,15,33,,,,
767,1997,21,Denmark,Kølig Kaj,Stemmen i mit liv,Danish,16,25,,,,
768,1997,22,France,Fanny,Sentiments songes,French,7,95,,,,
769,1997,23,Croatia,E.N.I.,Probudi me,Croatian,17,24,,,,
770,1997,24,United Kingdom,Katrina and the Waves,Love Shine a Light,English,1,227,,,,
771,1997,25,Iceland,Paul Oscar,Minn hinsti dans,Icelandic,20,18,,,,
772,1998,1,Croatia,Danijela,Neka mi ne svane,Croatian,5,131,,,,
773,1998,2,Greece,Thalassa,Mia krifi evaisthisia (Μια κρυφή ευαισθησία),Greek,20,12,,,,
774,1998,3,France,Marie Line,Où aller,French,24,3,,,,
775,1998,4,Spain,Mikel Herzog,¿Qué voy a hacer sin ti?,Spanish,16,21,,,,
776,1998,5,Switzerland,Gunvor,Lass ihn,German,25,0,,,,
777,1998,6,Slovakia,Katarína Hasprová,Modlitba,Slovak,21,8,,,,
778,1998,7,Poland,Sixteen,To takie proste,Polish,17,19,,,,
779,1998,8,Israel,Dana International,Diva (דיווה),Hebrew,1,172,,,,
780,1998,9,Germany,Guildo Horn,Guildo hat euch lieb!,German,7,86,,,,
781,1998,10,Malta,Chiara,The One That I Love,English,3,165,,,,
782,1998,11,Hungary,Charlie,A holnap már nem lesz szomorú,Hungarian,23,4,,,,
783,1998,12,Slovenia,Vili Resnik,Naj bogovi slišijo,Slovene,18,17,,,,
784,1998,13,Ireland,Dawn Martin,Is Always Over Now?,English,9,64,,,,
785,1998,14,Portugal,Alma Lusa,Se eu te pudesse abraçar,Portuguese,12,36,,,,
786,1998,15,Romania,Mălina Olinescu,Eu cred,Romanian,22,6,,,,
787,1998,16,United Kingdom,Imaani,Where Are You?,English,2,166,,,,
788,1998,17,Cyprus,Michael Hajiyanni,Genesis (Γένεσις),Greek,11,37,,,,
789,1998,18,Netherlands,Edsilia,Hemel en aarde,Dutch,4,150,,,,
790,1998,19,Sweden,Jill Johnson,Kärleken är,Swedish,10,53,,,,
791,1998,20,Belgium,Mélanie Cohl,Dis oui,French,6,122,,,,
792,1998,21,Finland,Edea,Aava,Finnish,15,22,,,,
793,1998,22,Norway,Lars A. Fredriksen,Alltid sommer,Norwegian,8,79,,,,
794,1998,23,Estonia,Koit Toome,Mere lapsed,Estonian,12,36,,,,
795,1998,24,Turkey,Tüzmen,Unutamazsın,Turkish,14,25,,,,
796,1998,25,Macedonia,Vlado Janevski,"Ne zori, zoro (Не зори, зоро)",Macedonian,19,16,,,,
797,1999,1,Lithuania,Aistė,Strazdas,Samogitian,20,13,,,,
798,1999,2,Belgium,Vanessa Chinitor,Like the Wind,English,12,38,,,,
799,1999,3,Spain,Lydia,No quiero escuchar,Spanish,23,1,,,,
800,1999,4,Croatia,Doris Dragović,Marija Magdalena,Croatian,4,118,,,,
801,1999,5,United Kingdom,Precious,Say It Again,English,12,38,,,,
802,1999,6,Slovenia,Darja Švajger,For a Thousand Years,English,11,50,,,,
803,1999,7,Turkey,Tuba Önal and Grup Mistik,Dön Artık,Turkish,16,21,,,,
804,1999,8,Norway,Stig Van Eijk,Living My Life Without You,English,14,35,,,,
805,1999,9,Denmark,Trine Jepsen and Michael Teschl,This Time I Mean It,English,8,71,,,,
806,1999,10,France,Nayah,Je veux donner ma voix,French,19,14,,,,
807,1999,11,Netherlands,Marlayne,One Good Reason,English,8,71,,,,
808,1999,12,Poland,Mietek Szcześniak,Przytul mnie mocno,Polish,18,17,,,,
809,1999,13,Iceland,Selma,All Out of Luck,English,2,146,,,,
810,1999,14,Cyprus,Marlain,Tha'nai erotas (Θα'ναι έρωτας),Greek,22,2,,,,
811,1999,15,Sweden,Charlotte Nilsson,Take Me to Your Heaven,English,1,163,,,,
812,1999,16,Portugal,Rui Bandeira,Como tudo começou,Portuguese,21,12,,,,
813,1999,17,Ireland,The Mullans,When You Need Me,English,17,18,,,,
814,1999,18,Austria,Bobbie Singer,Reflection,English,10,65,,,,
815,1999,19,Israel,Eden,Yom Huledet (Happy Birthday) (יום הולדת),"English, Hebrew",5,93,,,,
816,1999,20,Malta,Times Three,Believe 'n Peace,English,15,32,,,,
817,1999,21,Germany,Sürpriz,Reise nach Jerusalem – Kudüs'e Seyahat,"German, Turkish, English",3,140,,,,
818,1999,22,Bosnia and Herzegovina,Dino and Béatrice,Putnici,"Bosnian, French",7,86,,,,
819,1999,23,Estonia,Evelin Samuel and Camille,Diamond of Night,English,6,90,,,,
820,2000,1,Israel,PingPong,Sameach (שמח),Hebrew,22,7,,,,
821,2000,2,Netherlands,Linda Wagenmakers,No Goodbyes,English,13,40,,,,
822,2000,3,United Kingdom,Nicki French,Don't Play That Song Again,English,16,28,,,,
823,2000,4,Estonia,Ines,Once in a Lifetime,English,4,98,,,,
824,2000,5,France,Sofia Mestari,On aura le ciel,French,23,5,,,,
825,2000,6,Romania,Taxi,The Moon,English,17,25,,,,
826,2000,7,Malta,Claudette Pace,Desire,English,8,73,,,,
827,2000,8,Norway,Charmed,My Heart Goes Boom,English,11,57,,,,
828,2000,9,Russia,Alsou,Solo,English,2,155,,,,
829,2000,10,Belgium,Nathalie Sorce,Envie de vivre,French,24,2,,,,
830,2000,11,Cyprus,Voice,Nomiza (Νόμιζα),"Greek, Italian",21,8,,,,
831,2000,12,Iceland,August and Telma,Tell Me!,English,12,45,,,,
832,2000,13,Spain,Serafín Zubiri,Colgado de un sueño,Spanish,18,18,,,,
833,2000,14,Denmark,Olsen Brothers,Fly on the Wings of Love,English,1,195,,,,
834,2000,15,Germany,Stefan Raab,Wadde hadde dudde da?,"German, English",5,96,,,,
835,2000,16,Switzerland,Jane Bogaert,La vita cos'è?,Italian,20,14,,,,
836,2000,17,Croatia,Goran Karan,Kad zaspu anđeli,Croatian,9,70,,,,
837,2000,18,Sweden,Roger Pontare,When Spirits Are Calling My Name,English,7,88,,,,
838,2000,19,Macedonia,XXL,100% te ljubam (100% те љубам),"Macedonian, English",15,29,,,,
839,2000,20,Finland,Nina Åström,A Little Bit,English,18,18,,,,
840,2000,21,Latvia,Brainstorm,My Star,English,3,136,,,,
841,2000,22,Turkey,Pınar Ayhan and the SOS,Yorgunum Anla,"Turkish, English",10,59,,,,
842,2000,23,Ireland,Eamonn Toal,Millennium of Love,English,6,92,,,,
843,2000,24,Austria,The Rounder Girls,All to You,English,14,34,,,,
844,2001,1,Netherlands,Michelle,Out on My Own,English,18,16,,,,
845,2001,2,Iceland,Two Tricky,Angel,English,22,3,,,,
846,2001,3,Bosnia and Herzegovina,Nino,Hano,"Bosnian, English",14,29,,,,
847,2001,4,Norway,Haldor Lægreid,On My Own,English,22,3,,,,
848,2001,5,Israel,Tal Sondak,Ein Davar (אין דבר),Hebrew,16,25,,,,
849,2001,6,Russia,Mumiy Troll,Lady Alpine Blue,English,12,37,,,,
850,2001,7,Sweden,Friends,Listen to Your Heartbeat,English,5,100,,,,
851,2001,8,Lithuania,Skamp,You Got Style,"English, Lithuanian",13,35,,,,
852,2001,9,Latvia,Arnis Mednis,Too Much,English,18,16,,,,
853,2001,10,Croatia,Vanna,Strings of My Heart,English,10,42,,,,
854,2001,11,Portugal,MTM,Só sei ser feliz assim,Portuguese,17,18,,,,
855,2001,12,Ireland,Gary O'Shaughnessy,Without Your Love,English,21,6,,,,
856,2001,13,Spain,David Civera,Dile que la quiero,Spanish,6,76,,,,
857,2001,14,France,Natasha St-Pier,Je n'ai que mon âme,"French, English",4,142,,,,
858,2001,15,Turkey,Sedat Yüce,Sevgiliye Son,"Turkish, English",11,41,,,,
859,2001,16,United Kingdom,Lindsay Dracass,No Dream Impossible,English,15,28,,,,
860,2001,17,Slovenia,Nuša Derenda,Energy,English,7,70,,,,
861,2001,18,Poland,Piasek,2 Long,English,20,11,,,,
862,2001,19,Germany,Michelle,Wer Liebe lebt,"German, English",8,66,,,,
863,2001,20,Estonia,"Tanel Padar, Dave Benton and 2XL",Everybody,English,1,198,,,,
864,2001,21,Malta,Fabrizio Faniello,Another Summer Night,English,9,48,,,,
865,2001,22,Greece,Antique,Die for You,"Greek, English",3,147,,,,
866,2001,23,Denmark,Rollo and King,Never Ever Let You Go,English,2,177,,,,
867,2002,1,Cyprus,One,Gimme,English,6,85,,,,
868,2002,2,United Kingdom,Jessica Garlick,Come Back,English,3,111,,,,
869,2002,3,Austria,Manuel Ortega,Say a Word,English,18,26,,,,
870,2002,4,Greece,Michalis Rakintzis,S.A.G.A.P.O.,English,17,27,,,,
871,2002,5,Spain,Rosa,Europe's Living a Celebration,Spanish,7,81,,,,
872,2002,6,Croatia,Vesna Pisarović,Everything I Want,English,11,44,,,,
873,2002,7,Russia,Prime Minister,Northern Girl,English,10,55,,,,
874,2002,8,Estonia,Sahlene,Runaway,English,3,111,,,,
875,2002,9,Macedonia,Karolina,Od nas zavisi (Од нас зависи),Macedonian,19,25,,,,
876,2002,10,Israel,Sarit Hadad,Light a Candle,"Hebrew, English",12,37,,,,
877,2002,11,Switzerland,Francine Jordi,Dans le jardin de mon âme,French,22,15,,,,
878,2002,12,Sweden,Afro-dite,Never Let It Go,English,8,72,,,,
879,2002,13,Finland,Laura,Addicted to You,English,20,24,,,,
880,2002,14,Denmark,Malene Mortensen,Tell Me Who You Are,English,24,7,,,,
881,2002,15,Bosnia and Herzegovina,Maja,Na jastuku za dvoje (На јастуку за двоје),"Serbian, English",13,33,,,,
882,2002,16,Belgium,Sergio and the Ladies,Sister,English,13,33,,,,
883,2002,17,France,Sandrine François,Il faut du temps,French,5,104,,,,
884,2002,18,Germany,Corinna May,I Can't Live Without Music,English,21,17,,,,
885,2002,19,Turkey,Buket Bengisu and Group Safir,Leylaklar Soldu Kalbinde,"Turkish, English",16,29,,,,
886,2002,20,Malta,Ira Losco,7th Wonder,English,2,164,,,,
887,2002,21,Romania,Monica Anghel and Marcel Pavel,Tell Me Why,English,9,71,,,,
888,2002,22,Slovenia,Sestre,Samo ljubezen,Slovene,13,33,,,,
889,2002,23,Latvia,Marie N,I Wanna,English,1,176,,,,
890,2002,24,Lithuania,Aivaras,Happy You,English,23,12,,,,
891,2003,1,Iceland,Birgitta,Open Your Heart,English,8,81,,,,
892,2003,2,Austria,Alf Poier,Weil der Mensch zählt,German,6,101,,,,
893,2003,3,Ireland,Mickey Harte,We've Got the World,English,11,53,,,,
894,2003,4,Turkey,Sertab Erener,Everyway That I Can,English,1,167,,,,
895,2003,5,Malta,Lynn Chircop,To Dream Again,English,25,4,,,,
896,2003,6,Bosnia and Herzegovina,Mija Martina,Ne brini,"Croatian, English",16,27,,,,
897,2003,7,Portugal,Rita Guerra,Deixa-me sonhar,"Portuguese, English",22,13,,,,
898,2003,8,Croatia,Claudia Beni,Više nisam tvoja,"Croatian, English",15,29,,,,
899,2003,9,Cyprus,Stelios Constantas,Feeling Alive,English,20,15,,,,
900,2003,10,Germany,Lou,Let's Get Happy,English,11,53,,,,
901,2003,11,Russia,t.A.T.u.,"Ne ver', ne boysia (Не верь, не бойся)",Russian,3,164,,,,
902,2003,12,Spain,Beth,Dime,Spanish,8,81,,,,
903,2003,13,Israel,Lior Narkis,Words for Love,Hebrew,19,17,,,,
904,2003,14,Netherlands,Esther Hart,One More Night,English,13,45,,,,
905,2003,15,United Kingdom,Jemini,Cry Baby,English,26,0,,,,
906,2003,16,Ukraine,Olexandr,Hasta la vista,English,14,30,,,,
907,2003,17,Greece,Mando,Never Let You Go,English,17,25,,,,
908,2003,18,Norway,Jostein Hasselgård,I'm Not Afraid to Move On,English,4,123,,,,
909,2003,19,France,Louisa Baïleche,Monts et merveilles,French,18,19,,,,
910,2003,20,Poland,Ich Troje,Keine Grenzen – Żadnych granic,"German, Polish, Russian",7,90,,,,
911,2003,21,Latvia,F.L.Y.,Hello from Mars,English,24,5,,,,
912,2003,22,Belgium,Urban Trad,Sanomi,Imaginary,2,165,,,,
913,2003,23,Estonia,Ruffus,Eighties Coming Back,English,21,14,,,,
914,2003,24,Romania,Nicola,Don't Break My Heart,English,10,73,,,,
915,2003,25,Sweden,Fame,Give Me Your Love,English,5,107,,,,
916,2003,26,Slovenia,Karmen,Nanana,English,23,7,,,,
917,2004,1,Spain,Ramón,Para llenarme de ti,Spanish,10,87,,,,
918,2004,2,Austria,Tie Break,Du bist,German,21,9,,,,
919,2004,3,Norway,Knut Anders Sørum,High,English,24,3,,,,
920,2004,4,France,Jonatan Cerrada,À chaque pas,"French, Spanish",15,40,,,,
921,2004,5,Serbia and Montenegro,Željko Joksimović and Ad-Hoc Orchestra,Lane moje (Лане моје),Serbian,2,263,SF,20,1,263
922,2004,6,Malta,Julie and Ludwig,On Again... Off Again,English,12,50,SF,8,8,74
923,2004,7,Netherlands,Re-Union,Without You,English,20,11,SF,22,6,146
924,2004,8,Germany,Max,Can't Wait Until Tonight,"English, Turkish",8,93,,,,
925,2004,9,Albania,Anjeza Shahini,The Image of You,English,7,106,SF,13,4,167
926,2004,10,Ukraine,Ruslana,Wild Dances,"English, Ukrainian",1,280,SF,11,2,256
927,2004,11,Croatia,Ivan Mikulić,You Are the Only One,English,12,50,SF,18,9,72
928,2004,12,Bosnia and Herzegovina,Deen,In the Disco,English,9,91,SF,21,7,133
929,2004,13,Belgium,Xandee,1 Life,English,22,7,,,,
930,2004,14,Russia,Julia Savicheva,Believe Me,English,11,67,,,,
931,2004,15,Macedonia,Toše Proeski,Life,English,14,47,SF,15,10,71
932,2004,16,Greece,Sakis Rouvas,Shake It,English,3,252,SF,10,3,238
933,2004,17,Iceland,Jónsi,Heaven,English,19,16,,,,
934,2004,18,Ireland,Chris Doran,If My World Stopped Turning,English,22,7,,,,
935,2004,19,Poland,Blue Café,Love Song,"English, Spanish",17,27,,,,
936,2004,20,United Kingdom,James Fox,Hold On to Our Love,English,16,29,,,,
937,2004,21,Cyprus,Lisa Andreas,Stronger Every Minute,English,5,170,SF,14,5,149
938,2004,22,Turkey,Athena,For Real,English,4,195,,,,
939,2004,23,Romania,Sanda,I Admit,English,18,18,,,,
940,2004,24,Sweden,Lena Philipsson,It Hurts,English,5,170,,,,
1373,2004,,Finland,Jari Sillanpää,Takes 2 to Tango,English,,,SF,1,14,51
1374,2004,,Belarus,Aleksandra and Konstantin,My Galileo,English,,,SF,2,19,10
1375,2004,,Switzerland,Piero and the MusicStars,Celebrate,English,,,SF,3,22,0
1376,2004,,Latvia,Fomins and Kleins,Dziesma par laimi,Latvian,,,SF,4,17,23
1377,2004,,Israel,David D'Or,Leha'amin (להאמין),"Hebrew, English",,,SF,5,11,57
1378,2004,,Andorra,Marta Roure,Jugarem a estimar-nos,Catalan,,,SF,6,18,12
1379,2004,,Portugal,Sofia Vitória,Foi magia,Portuguese,,,SF,7,15,38
1380,2004,,Monaco,Maryon,Notre planète,French,,,SF,9,19,10
1381,2004,,Lithuania,Linas and Simona,What's Happened to Your Love,English,,,SF,12,16,26
1382,2004,,Slovenia,Platin,Stay Forever,English,,,SF,16,21,5
1383,2004,,Estonia,Neiokõsõ,Tii,Võro,,,SF,17,11,57
1384,2004,,Denmark,Tomas Thordarson,Shame on You,English,,,SF,19,13,56
941,2005,1,Hungary,Nox,"Forogj, világ",Hungarian,12,97,SF,15,5,167
942,2005,2,United Kingdom,Javine,Touch My Fire,English,22,18,,,,
943,2005,3,Malta,Chiara,Angel,English,2,192,,,,
944,2005,4,Romania,Luminița Anghel and Sistem,Let Me Try,English,3,158,SF,14,1,235
945,2005,5,Norway,Wig Wam,In My Dreams,English,9,125,SF,13,6,164
946,2005,6,Turkey,Gülseren,Rimi Rimi Ley,Turkish,13,92,,,,
947,2005,7,Moldova,Zdob și Zdub,Boonika bate toba,"English, Romanian",6,148,SF,4,2,207
948,2005,8,Albania,Ledina Çelo,Tomorrow I Go,English,16,53,,,,
949,2005,9,Cyprus,Constantinos Christoforou,Ela Ela,English,18,46,,,,
950,2005,10,Spain,Son de Sol,Brujería,Spanish,21,28,,,,
951,2005,11,Israel,Shiri Maimon,HaSheket SheNish'ar (השקט שנשאר),"Hebrew, English",4,154,SF,7,7,158
952,2005,12,Serbia and Montenegro,No Name,Zauvijek moja (Заувијек моја),Montenegrin,7,137,,,,
953,2005,13,Denmark,Jakob Sveistrup,Talking to You,English,9,125,SF,24,3,185
954,2005,14,Sweden,Martin Stenmarck,Las Vegas,English,19,30,,,,
955,2005,15,Macedonia,Martin Vučić,Make My Day,English,17,52,SF,17,9,97
956,2005,16,Ukraine,GreenJolly,Razom nas bahato (Разом нас багато),"Ukrainian, English",19,30,,,,
957,2005,17,Germany,Gracia,Run and Hide,English,24,4,,,,
958,2005,18,Croatia,Boris Novković feat. Lado members,Vukovi umiru sami,Croatian,11,115,SF,20,4,169
959,2005,19,Greece,Helena Paparizou,My Number One,English,1,230,,,,
960,2005,20,Russia,Natalia Podolskaya,Nobody Hurt No One,English,15,57,,,,
961,2005,21,Bosnia and Herzegovina,Feminnem,Call Me,English,14,79,,,,
962,2005,22,Switzerland,Vanilla Ninja,Cool Vibes,English,8,128,SF,19,8,114
963,2005,23,Latvia,Walters and Kazha,The War Is Not Over,English,5,153,SF,5,10,85
964,2005,24,France,Ortal,Chacun pense à soi,French,23,11,,,,
1385,2005,,Austria,Global.Kryner,Y así,"English, Spanish",,,SF,1,21,30
1386,2005,,Lithuania,Laura and the Lovers,Little by Little,English,,,SF,2,25,17
1387,2005,,Portugal,2B,Amar,"Portuguese, English",,,SF,3,17,51
1388,2005,,Monaco,Lise Darly,Tout de moi,French,,,SF,6,24,22
